	Class A B C D E F G H I J K L M N O P Q R S T U V X Y W Z AA BB
857	1 -67.81 -53.91 12.02 -140 -272.7 81.03 -33.42 -95.1 14.85 129 -64.23 -84.45 17.5 -15.34 -119.4 81.32 -50.72 -97.98 183.3 -288.79 345.87 -1.24 63.74 100.4 -199.58 -155.16 -224.44 -244.24
858	1 0 0 -92.11 40 -86.21 -164.5 -60.98 -46.2 47.11 -17.44 23.63 -57.46 65.77 72.22 -33.56 -20.55 76.83 -88.62 53 -304.21 266.91 -307.18 -270.41 192.46 91.55 180.97 530.21 115.45
859	1 -41.5 -30.75 -98.6 -140 -227.3 118.2 -42.6 -51.94 -25.76 140.6 -15.53 -143.4 27.16 26.93 16.32 114.5 25.29 -126.1 -276.44 -314.67 -234.1 -242.22 -208.79 133.82 -278.49 174.65 -135.65 60.41
860	1 1.012 5.506 -95.52 -60 -184.2 -47.93 -45.67 0.05316 -48.56 14.16 -9.506 -15.62 148.2 55.11 -12.73 94.86 63.3 -98.71 -171.17 -53.63 42.62 206.21 57.54 -98.73 164.12 173.14 556.11 -213.91
861	1 -70.72 -71.9 -3.293 -120 -230.8 33.46 -31.61 20.81 -15.3 85.7 34.41 -2.701 52.26 -126.9 -84.08 21.87 -85.16 59.24 -329.57 148.24 -33.1 -163.08 250.11 -261.57 -165.29 -97.05 -118.17 18.71
862	1 -99.6 -86.34 -163.2 -90 -93.75 58.38 -6.953 -155.5 75.2 97.22 -167.9 -136.8 -102.6 44.95 10.82 102 -95.19 -141.2 -212.63 79.21 243.64 -333.78 188.28 288.85 -205.55 45.82 562.16 74.51
863	1 -80.68 -73.03 -101.6 -100 -100 -13.89 -34.69 -45.32 61.06 67.28 -85.95 -33.92 -100.4 -20.43 46.92 117.2 -124.6 -137.7 66.02 2.67 -151.45 256.65 -321.37 -50.36 86.42 326.78 398.66 -180.29
864	1 -5.976 -4.911 -84.18 30 -53.57 -70.37 -37.77 -62.32 -6.248 -1.821 32.39 -11.44 9.574 132.5 -125.8 -52.2 24.5 -9.011 96.26 20.93 -216.26 -8.93 -300.91 -117.1 -161.47 -47.11 1.99 -120.15
865	1 -45.45 -41.11 -111.8 -110 -214.3 144.8 -36.77 -172.4 56.51 162 -112.3 -106.7 48.54 -80.64 -89.37 162.5 2.973 -83.62 17.81 -75.09 209.12 -52.73 -132.63 79.28 -300.69 -270.35 -147.14 16.38
866	1 -11.36 -9.358 28.58 20 -37.04 -115.3 -32.58 -4.39 -17.12 -90.81 33.01 -12.42 76.97 189.1 -22.08 0.3071 88.08 -139 -248.75 -48.54 -7.95 -107.09 -253.18 -7.21 -119.44 -66.4 -195 -18.1
867	1 -58.51 -58.86 -27.86 -170 -312.5 86.74 -18.51 -201.4 -80.62 130.3 -116.9 -96.73 16.38 -86.52 -152 179.2 -62.14 -82.57 111.13 -89.99 336.51 -83.77 23.36 67.2 83.66 366.13 94.39 -193.6
868	1 -72.1 -68.95 -69.26 -50 -150 24.68 5.289 -121.9 -76.85 82.04 -68.15 -123.7 13.72 -51.17 -163.1 131.2 -10.95 -34.98 247.23 -227.79 199.21 32.34 320.72 130.64 119.23 -293.08 -240.11 -196.51
869	1 -72.64 -63.34 -45.28 -100 -166.7 61.11 0 -97.92 NA 104.7 -108.2 -113.2 14.15 1.098 -206.3 171.5 -4.877 -123.5 272.78 -115.62 -242.6 -282.19 30.61 -215.37 -239.17 -161.38 -231.01 -0.77
870	1 -49.55 -45.05 24.05 -240 0 49.59 -23.92 -50.33 161.3 77.51 -185.6 15.86 -192.5 -68.54 201.5 120.1 -45.77 20.31 149.65 -181.61 250.96 -329.12 -100.7 280.47 -208.61 -218.56 -58.6 -49.44
871	1 -60.25 -57.15 -32.95 -50 -100 -34.55 -15.95 -70.37 -63.16 30.77 -74.34 -103.4 -13.3 -19.79 -198.8 74.53 -17.27 -110.5 -169.88 200.68 -80.75 99.72 -110.75 40.97 -233.36 -8.02 482.39 94.13
872	1 -4.505 -2.252 2.146 40 -51.72 -58.76 -39.87 -51.29 76.74 -8.896 -19.93 -33.44 1.229 91.62 36.73 -8.281 97.99 -39.49 -305.89 202.16 85.13 355.48 -85.97 -46.69 -166.18 -204.99 191.79 -201.22
873	1 -73.45 -67.98 -35.41 -40 -190.5 102.5 -8.219 -132.7 -85.53 135.1 -84.12 -88.03 16.29 -24.35 -83.19 107.7 -76.26 -62.82 86.41 -85.35 264 -123.71 173.19 74.51 246.03 -11.49 277.4 -15.38
874	1 -45.75 -47.18 52.46 -130 -291.7 89.45 -30.41 80.14 -166.6 88.73 14.73 -34.2 87.98 -86.98 -157.9 147.3 -55.36 -6.205 -100.68 -245.13 300 11.19 42.43 -67.34 220.15 355.81 -135.96 103.73
875	1 9.665 11.78 -67.5 60 -64.52 -35.86 -52.6 47.33 69.81 -3.037 90.36 -18.82 31.12 91.57 66.19 37.13 129.2 -62.82 264.23 -334.56 84.18 186.63 181.49 -104.76 279.65 -72.36 471.52 129.24
876	1 2.577 8.233 -78.77 70 -78.13 -53.59 -37.81 12.16 -24.74 -36.45 76.61 -13.22 41.01 106.5 10.36 -80.4 65.37 -24.04 -16.27 220.55 -274.14 239.26 -248.08 36.04 -292.84 -134.82 361.72 204.81
877	1 -56.54 -49.11 -15.31 -140 -272.7 72.31 NA 77.09 -146.7 80.46 -92.92 -42.36 59.74 -130.4 -113 144.8 -269 -47.1 174.82 152.22 255.15 -191.79 -102.96 -56.66 75.19 -84.07 521.81 137.67
878	1 1.067 -6.411 57.21 80 -75.76 -49.24 -55.83 31.61 13.26 6.107 43.32 -34.32 7.48 79.48 35.71 3.933 99.98 -21 216.78 -36.43 -36.85 36.77 176.83 -90.08 200.68 315.05 -59.89 8.3
879	1 -63.66 -56.13 -54.23 -40 -95.24 27.03 -23.27 -94.92 35.99 91.9 -122.3 -94.17 -59.03 15.26 NA 150.7 -105 -94.8 202.41 225.69 -200.32 311.56 85.56 125.96 -252.95 335.82 409.28 15.17
880	1 -67.28 -62.21 -125.5 -180 -285.7 25.93 -32.05 -96.23 -61.78 99.94 -91.65 -136.8 -8.432 8.421 -176.9 168.4 -52.47 -146.7 -163.92 254.8 -104.45 -78.96 -79.78 112.83 -323.44 101.39 497.95 209.34
881	1 -37.46 -36.59 -47.6 -200 -200 98.38 -45.91 72.99 -117.2 93.76 49.44 33.34 81.87 -133.1 -78.92 193.2 -130.2 -73.08 -30.6 109.88 -141.25 -65.9 -156.17 325.8 76.42 23.39 -127.26 -50.64
882	1 38.23 26.26 21.9 80 -30.3 -119 -59.78 -87.66 86.25 -12.82 -62.76 -49.23 -50.5 160.7 -10.46 -42.34 -8.509 -37.35 -293.28 101.95 292.06 -326.57 -117.08 35.54 -247.01 -61.67 345.02 87.24
883	1 24.46 15.8 -67.07 30 -89.29 -17.33 -41.29 -23.75 8.673 37.8 45.41 -152.6 48 189.5 -16.95 31.25 132.7 -63.6 168.39 202.7 73.94 301.21 -255.55 -102.54 -11.75 -46.7 575.56 -104.2
884	1 -34.4 -35.06 -22.93 -150 -250 10.79 -50.53 77.34 -143.3 52.61 -15.06 -29.69 54.16 -118.7 -137.3 78.27 -179.3 -69.43 303.82 148.41 223.32 -313.66 258.97 62.99 191.25 4.79 -184.1 211.5
885	1 -70.34 -70.88 -14.72 -80 -147.1 10.79 -27.43 -137.1 47.46 98.7 -129.9 -64.36 -51.53 -74.33 -63.07 137.1 -143.8 -77.45 -180.93 81.91 387.77 116.16 178.47 314.12 -231.95 179.72 354.33 -140.35
886	1 -44.87 -46.08 -38.14 -80 -147.1 -15.36 -37.34 -206.5 30.66 85.81 -196 -127.6 -151.8 -30.55 -136.9 60.65 -111.6 -40.59 -155.11 50.56 -216.23 273.43 245.36 26.53 264.57 303.07 -104.71 -156.4
887	1 -50.48 -48.89 -89.53 150 -87.5 -45.48 -20.94 12.74 57.16 59.08 -18.98 -87.09 -74.89 51.34 165.3 70.49 -77.47 -2.956 133.46 160.51 196.27 -108.33 -2.08 -187.99 119.99 -297.6 -211.48 -61.61
888	1 -4.808 -9.161 123.5 -100 -200 61.23 -49.64 61.59 -83.28 101.1 43.7 -20.51 96.61 -51.3 -196.9 95.09 -70.43 -20.06 -173.87 -250.22 206.71 203.24 273.38 303.58 5.58 -140.45 309.26 -186.47
889	1 0 -3.378 17.94 160 -24.39 -23.1 -49.64 -70.51 81.67 52.29 -4.762 41.43 -58.13 -50.21 30.58 113.9 -90.53 40.67 -169.45 199.35 50.24 354.02 -43.18 -165.62 -119.58 333.58 -172.65 -3.41
890	1 36.86 35.32 -56.67 60 -48.39 -123.8 -45.54 -156.6 57.82 -35.14 -82.95 -61.04 -46.3 119 -10.37 -69.05 -22.18 -95.33 1.55 75.11 2.74 -230.7 -208.63 294.22 78.43 -83.93 384.89 119.48
891	1 -51.18 -55.89 66.71 -90 -156.3 2.428 -26.88 -10.59 -23.05 59.62 -45.83 11.91 18.34 -83.6 -46.65 116.5 -152.8 -36.6 136.12 297.74 169.53 -70.41 45.36 -35.73 139.08 -3.37 612.64 -168.15
892	1 20.25 13.91 -69.85 60 -80.65 -95.08 -36.61 -47.44 19.77 -48.78 -35.43 -50.44 -2.503 247.8 84.89 -46.21 87.71 -60.22 -225.7 167.65 151.36 174.93 -260.69 167.95 -308.43 -180.28 -104.99 -59.76
893	1 15.83 4.128 7.433 40 -68.97 -39.22 -36.61 35.44 10.25 -8.798 38.85 7.267 15.37 159.3 31.17 -92.08 48.94 -61.7 119.93 -355.37 -167.5 54.02 -198.94 256.48 211.27 -133.55 119.83 70.55
894	1 -67.38 -63.99 -86.75 -170 -312.5 79.11 -2.54 -134.9 -123.6 115.6 -121.6 -209.6 -11.44 -68.84 -205 130.9 16.34 -117.1 102.51 3.29 166.03 247.31 11.44 -115.02 132.01 176.92 -103.9 -162.02
895	1 -60.01 -56.52 -50.59 -100 -233.3 77.21 -22.01 -90.75 -31.2 136 -104.5 -110.8 -18.39 -19.19 -81.77 108 80.66 -83.11 19.35 -0.35 190.3 77.35 224.11 -221.09 -162.37 -296.23 201.63 -194.75
896	1 -46.91 -40.86 -71.17 -70 -111.1 18.18 -22.34 -144.9 59.43 68.88 -135.5 -46.62 -78.46 12.07 -74.56 134.8 -48.33 -106.9 -55.93 -142.16 211.46 -82.66 -264.56 311.61 -6.7 -90.57 387.69 51.91
897	1 -33.58 -27.87 -28.05 -40 -119 36.64 -22.34 18.43 -78.6 34.58 20.97 63.92 74.96 -32.66 -87.18 19.42 -75.7 38.54 -182.05 -40.47 -143.95 -199.07 -77.42 -180.65 -78.85 91.78 -80.53 192.76
898	1 -37.31 -39.23 2.386 -40 -95.24 15.1 -14.19 -166.2 136.1 54.03 -140 11.75 -92.13 7.445 11.57 33.62 -167.3 -67.16 97.42 -296.87 -262.76 327.74 75.44 -51.33 -262.62 109.31 106.74 50.18
899	1 -60.77 -47.79 -7.753 -110 -214.3 57.16 -22.34 -28.04 -88.19 87.82 -22.35 -82 55.21 -7.982 -119.1 83.05 -67.37 -16.93 -57.53 -349.23 171.78 248.25 105.85 130.04 22.8 5.5 11.22 -188.72
900	1 -6.071 0.2542 -2.37 70 -31.25 -56.12 -38.76 -31.78 70.08 -44.79 41.32 -3.645 23.81 251.8 62.31 -61.24 -30.61 -66.9 -193.55 -335.68 62.81 -55.89 -243.97 -112.09 -282.74 235.21 -241.86 -81.4
901	1 -36.89 -29.81 -12.21 -110 -214.3 93.48 -41.63 53.63 -149.1 95.5 55.83 -65.83 119.6 -150.6 -116.6 152 -52.25 -111.8 -150.37 -56.08 -275.05 92.57 47.34 -232.39 -58.33 241.52 -34.69 140.37
902	1 -40.3 -31.51 0.7553 -30 -159.1 28.53 -41.63 152.3 -197.5 16.11 54.71 5.92 93 -67.73 -133.5 52.24 56.64 -26.55 -168.7 169.71 18.24 52.06 258.99 145.81 228.81 -52.07 594.48 17.16
903	1 -49.18 -51.11 3.478 -70 -55.56 44.77 -22.58 -256.6 94.84 92.43 -63.97 -18 16.05 -128.7 -72.04 140.5 -48.73 -21.97 -259.34 119.93 -269.98 -126.37 -289.57 -192.57 123.4 60.09 484.26 80.2
904	1 -6.831 -10.99 36.05 50 -66.67 -48.84 -35.28 -7.81 85.77 -7.135 106.2 -58.41 125.6 73.01 67.1 15.6 103.5 -116.4 241.35 -340.88 279.58 -99.57 221.6 -130.35 -201.52 14.6 129.1 -136.77
905	1 -0.6562 -0.3281 2.708 60 -48.39 -85.01 -38.98 23.46 -13.16 -55.5 100.6 -72.13 76.26 137.7 -15.57 -40.65 91.23 -0.6115 29.39 -315.4 -274.78 -232.4 -355.74 -82.54 -42.16 138.82 -93.95 133.38
906	1 -54.46 -46.97 -96.53 -10 -62.5 60.19 -6.497 -102.5 6.713 82.2 -269.7 -33.81 -85.9 33.75 38.72 142.8 -111.2 -119.7 218.96 -90.74 47.06 -185.24 -114.47 236.59 -119.16 105.57 -98.57 218.06
907	1 -14.44 -10.51 13.31 0 0 -44.79 -45.48 -130.3 79.12 10.73 -9.117 -16.32 56.8 96.13 32.3 16.18 16.15 -105.7 81.89 39.96 248.49 362.37 -53.68 -30.11 -235.05 -157.45 267.99 -109.28
908	1 -31.5 -42.06 -46.81 -130 -166.7 69.01 -25.99 129.1 -128.2 72.18 43.53 34.5 64.37 -147.8 -8.566 179.7 -52.41 -57.7 100.54 -222.51 231.08 -291.64 116.88 21.09 -295.99 5.42 265.38 57.73
909	1 -12.43 -14.03 58.85 50 -50 21.28 -42.15 -82.26 99.17 56.73 17.88 9.687 -57.79 30 28.6 53.05 29.13 -42.54 53.56 135.57 61.4 164.1 317.07 -156.72 2.62 -102.63 -133.38 -197.16
910	1 -0.6545 -0.3272 46 70 -46.88 30.36 -35.48 8.161 73.83 30.6 153.9 19.35 26.97 79.88 55.09 -7.078 157.4 11.79 -322.67 85.39 31.74 351.81 -106.66 -183.78 -13.7 -93.07 -164.99 67.36
911	1 -45.81 -46.34 -32.52 -120 -230.8 115.5 -22.14 -30.65 17.91 155.1 -83.82 -110.6 74.99 -125 5.646 203.9 -50.08 -95.97 -146.21 -356.35 206.17 -128.87 -284.1 -15.96 -305.56 -107.63 -23.77 209.71
912	1 -61.14 -58.35 -162.3 -30 -204.5 30.93 -31.2 -36.5 -56.62 91.72 -227.7 -91.42 -176.5 -105.3 31.29 44.23 -107.7 -86.83 -192.52 169.01 -29.09 52.54 156.76 328.81 142.98 -153.91 196.52 NA
913	1 34.65 17.32 -43.21 50 -66.67 -77.05 -57.94 -80.5 -0.407 -3.013 17.35 -122.8 44.89 121.4 -39.81 -8.497 43.5 -143.9 -161.04 14.06 -49.13 178.76 165.79 6.08 271.36 113.9 -54.03 -153.92
914	1 -4.076 3.518 53.98 50 -66.67 -77.98 -77.99 40.91 -9.25 -10.2 15.03 -37.6 49.23 94.17 11.06 -3.747 -5.891 -33.53 76.9 -18.75 -144.31 -198.52 -318.92 -240.85 -98.81 137.29 596.76 -117.13
915	1 -74.05 -64.8 106.4 -80 -205.9 69.69 -37.88 78.88 -145.7 90.37 -40.64 -6.96 65.52 -105.3 -142.2 105 -98.62 -13.9 -225.24 139.89 -278.56 -309.31 -188.83 97.41 119.45 -29.05 367.3 96.72
916	1 -41.44 -40.16 10.71 0 -100 -54.9 -57.94 -24.87 -37.67 24.82 -35.22 -31.63 35.12 -87.15 3.705 40.9 -8.915 -4.55 213.14 200.21 323.81 -278.44 -176.3 -253.89 68.14 -56.34 365.39 -15.89
917	1 2.331 -1.96 16.71 40 -17.24 -54.13 -24.03 -48.84 -23.9 -60.67 11.44 -5.544 31.03 223.1 1.914 -13.3 62.28 10.17 -288.87 -72.75 380.07 95.28 -224.06 49.56 -63 -147.64 146.17 190.36
918	1 -40.21 -38.85 50.11 -10 -125 41.87 -40.53 42.76 -78.63 80.13 -70.62 -14.11 -15.13 -35.29 29.11 92.45 -62.1 -77.7 90.12 212.65 112.34 -184.85 -66.85 217.36 -39.3 22.82 527.83 229.72
919	1 -64.69 -66.72 21.41 -10 -83.33 96.41 -7.52 -45.33 1.748 144.9 -145.8 -83.7 -54.09 -43.12 -1.713 124.3 -131.7 -104.4 262.09 -270.85 252.51 157.81 -99.91 -22.92 70.64 360.05 122.14 -190.82
920	1 -48.37 -52.31 -60.04 -130 -208.3 42.96 -32.28 -17.14 -116.3 79.61 -143.9 -69.79 -13.69 -64 -138.6 169.5 -88.35 -128.3 -247.68 285.97 240.93 -125.37 304.02 -49.18 62.4 154.02 -108.19 -172.97
921	1 -43 -27.91 -68 70 -62.5 -54.77 -10.89 69.9 -5.142 -52.12 72.96 -73.95 46.45 200.4 14.23 -44.41 62 -60.95 -32.7 -328.1 308.67 -334.68 -69.32 116.91 81.1 -62.84 245.96 96.57
922	1 -63.65 -54.26 2.343 -90 -187.5 66.24 -32.67 233.2 -79.64 98.76 -21.95 0.3725 63.4 -105.3 -94.18 139.8 -104.7 -21.88 -15.09 239.35 297.21 -341.31 -268.18 -231.93 -321.6 -335.33 122.8 91.43
923	1 -31.54 -18.97 -12.35 30 -53.57 -40.47 -39.93 29.33 -23.96 -6.113 -4.406 3.306 45.24 140.3 -68.97 -14.34 12.09 -54.82 153.28 -232.78 327.68 -291.55 55.61 254.49 50.62 -54.64 567.94 -82.56
924	1 -16.95 -29.31 -31.34 -80 -235.3 85.92 -36.97 178.5 -175.7 41.96 -9.264 11.08 142.7 -52.31 -10.67 148.6 -85.78 -80.13 124.98 -227.22 149.13 -27.86 -297.37 330.53 -325.99 -130.58 559.27 -34.78
925	1 -48.31 -44.99 93.31 40 -103.4 -0.8939 -47.54 24.11 -21.63 64.14 -46.67 11.08 20.13 -45.14 -41.68 75.93 -75.94 7.558 94.11 284.34 16.4 74.93 209.33 154.63 299.76 249.63 -208.77 81.25
926	1 18.64 9.322 -1.992 90 -58.82 -147.1 -47.54 -31.12 28.09 -31.18 -10.55 -18.46 -40.76 37.8 -16.76 -79.29 45.7 4.979 141.04 -232.43 -119.09 -49.49 -342.78 267.37 -223.57 254.2 -56.57 139.72
927	1 -38.14 -27.4 -87.82 -30 -204.5 146.5 -36.97 117.6 -115.5 116.7 25.57 -89.66 26.8 -12.38 -204.5 29.92 2.324 -18.23 296.59 240.49 -61.06 -121.22 -189.53 132.55 -18.85 190.46 -48.25 -177.65
928	1 9.322 4.661 -30.71 60 0 -148.2 -31.69 -114.7 118.1 -53.78 -13.13 -22.62 91.86 26.53 -23.96 5.842 -18.25 -149.8 -38.44 -20.47 341.12 -81.91 1.96 -91.99 -216.33 363.78 -79.02 208.64
929	1 -77.12 -63.56 -19.44 -160 -277.8 138.5 0 19.86 -18.31 159.9 -25.6 -133.2 82.68 68.52 -117 160.6 -19.59 -117.8 -41.25 -217.65 216.51 123.54 -104.05 29.94 136.11 298.13 285.71 -63.16
930	1 8.842 8.098 -69.64 30 0 -93.67 -46.79 -138.9 77.7 15.09 -93.35 -79.35 -156.3 119.3 -20.9 8.266 37.56 -111.3 1.36 -198.15 -4.97 334.61 91.61 266.08 -307.11 -95.08 167.29 -148.43
931	1 -26.53 -27.97 100.1 -110 -214.3 53.79 -62.34 219.5 -99.39 80.52 58.98 18.37 102.3 -118.3 -85.13 142.5 -108.5 -75.56 -299.03 -179.22 56.46 -177.33 -356.08 -71.54 -65.29 -89.89 524.06 -43.24
932	1 -38.59 -30.32 -107 -60 -157.9 84.83 -41.6 -51.68 -108 124 29.89 -122.8 -13.86 -24.91 -212.9 140.3 105 -120.2 233.66 75.68 -187.07 360.6 -51.58 44.55 -242.88 66.37 8.75 -171.78
933	1 -7.235 -3.617 -43.82 60 -80.65 -95.61 -41.6 -67.5 -7.245 -6.44 -71.1 -16.23 38.62 93.88 15.51 -1.991 -25.23 -45.33 39.2 -330.78 -23.67 176.42 -357.59 211.11 44.77 -155.08 202.64 149.07
934	1 -16.88 -26.82 89.47 120 -108.1 47 -41.6 189.8 -116.7 51.95 90.36 6.218 55.49 -158.8 -82.28 62.97 -39.77 -34.34 117.65 230.15 100.27 -63.65 74.74 280.16 -12.97 -199.68 89.12 103.47
935	1 -13.37 -24.13 2.151 NA -25 -70.33 -21.59 9 31.55 4.582 -52.12 30.43 -56.5 93.68 75.2 51.82 25.86 77.71 -113.39 58.03 -76.12 -123.21 220.86 172.47 29.89 322.77 -92.05 -8.3
936	1 -35.47 -38.08 54.41 -100 -200 48.24 -51.47 172.6 -155.1 68.1 9.473 20.25 43.42 -128.1 -164.1 66.2 -75.17 -91.34 193.2 -99.86 181.98 208.62 -84.29 -150.61 166.49 -100.52 322.24 34.12
937	1 -5.233 -2.616 -46.35 50 16.67 -105.3 -29.06 -141.7 87.21 -35.43 -67.52 -2.26 61 60.85 30.76 11.66 -11.46 -35.26 178.04 -284.39 -49.84 301.79 167.37 181.66 61.04 282.47 407.38 146.77
938	1 -12.79 -29.65 12.96 -20 -86.96 -37.51 -51.47 122.5 -64.06 35.1 47.97 -7.618 -0.9855 -48.57 -3.519 104.9 37.7 -25.37 17.82 -170.33 -281.35 195.65 299.35 195.69 91.07 26.75 415.11 -95.37
939	1 -54.65 -53.49 15 -20 -195.7 75.77 -14.12 100.7 -200.9 44.18 47.2 12.74 131.3 7.136 -202.2 -9.161 144.2 52.98 -334.04 108.73 -126.6 -99.77 322.08 -219.59 134.07 339.63 611.97 -208.04
940	1 -49.42 -30.52 -26.95 30 -71.43 -77.75 -44 24.97 59.71 30.57 48.74 -84.25 63.78 5.147 38.38 29.01 53.17 -62.48 154.15 -77.44 -97.74 340.62 35.11 96.96 180.73 80.81 70.84 -55.08
941	1 -24.62 -22.73 87.62 -20 -239.1 161.2 -11.07 202.6 -182.5 71.39 107.1 28.03 129.2 -137.8 23.79 67.96 -42.66 -20.59 -217.36 254.22 372.67 -229.84 -315.8 319.28 241.22 359.85 -220.99 -176.24
942	1 44.51 37.88 30.61 50 -116.7 26.68 -42.42 111.2 -77.75 -1.175 118 -19.57 47.76 148.6 -35.04 -21.58 155 -68.55 -36.02 213.44 322.02 -334.41 -224.15 -236.05 -93.8 201.74 563.6 112.59
943	1 -27.46 -24.15 -19.24 -120 -269.2 88.68 -26.74 94.36 -88.99 72.97 68.46 34.31 111 -110.3 -122.1 80.58 -4.684 -32.75 247.36 -210.18 -18.13 312.79 -296.31 -141.43 61.66 30.91 452.35 16.09
944	1 -62.5 -57.29 -68.35 -190 -416.7 147.5 20.27 -260.1 119.3 165.2 -208 -125.1 -142.7 -32.54 -73.87 98.65 -78.32 -32.75 -227.67 35.61 205.63 -60.62 35.17 143.66 -16.07 143.09 484.69 196.35
945	1 -68.18 -54.92 -114.6 -190 -250 84.47 -18.91 -145.1 -36.32 120.7 13.74 -70.76 -13.72 -103.7 -308.6 27.19 107.7 -40.18 301.77 6.35 -216.66 -196.31 -333.69 226.45 93.72 -260.42 135.25 29.56
946	1 14.2 7.102 -2.973 30 -53.57 -123.6 -26.74 -64.86 89.74 0.7973 -34.84 -94.56 13.99 154.3 92.62 32.23 23.22 -161.8 -118.24 200.82 35.24 194.43 -303.91 -81.03 -107.46 -307.94 -91 -41.23
947	1 -78.5 -78.31 -50.89 -120 -153.8 180 10.24 -331 28.16 179.6 -160 -127.4 -22.38 -67.39 -143.1 44.44 -3.827 -49.67 -89.89 -183.02 -279.58 -106.67 9.16 254.6 -116.43 -47.96 363.89 216.33
948	1 -10.24 -9.026 -94.88 20 -18.52 -162.6 -36.32 -79.57 39.15 -28.85 -19.79 -93.64 -48.98 174.5 -15.01 -22.39 64.63 -140 28.69 -107.37 -139.14 222.32 -16.43 -47.65 266.2 -244.35 -2.15 -0.31
949	1 0 -11.72 -72.94 40 -86.21 -144.8 -36.32 12.71 44.31 -4.176 -28.59 -25.69 43.7 86.92 118.1 7.267 -0.8833 -71.35 115.31 -215.37 -169.67 275.61 -222.69 165.82 157.27 129.2 498.68 145.65
950	1 6.542 -25.58 87.36 -10 -83.33 -77.51 -71.95 40.34 90.93 NA -76.33 6.486 -76.22 -11.55 7.957 173.5 83.26 -122 -245.63 169.52 382.71 200.02 -238.87 -242.07 226.58 -46.68 85.93 73.59
951	1 -56.07 -64.1 64 140 -12.82 -143.4 -36.29 -87.24 23.02 -9.4 -86.26 20.62 -65.03 -19.03 -40.33 -33.58 -164.8 35.63 8.16 203.61 -98.57 191.45 231.79 -184.95 -155.36 -41.57 349.64 185.94
952	1 -19.16 -11.98 3.692 70 -93.75 -54.99 -43.42 38.63 -15.39 -11.72 49.67 -17.24 127.6 114.8 62.54 -4.711 94.25 -84.23 -145.51 -86.81 -66.54 124.26 67.67 -83.86 84.41 -144.85 369.81 37.8
953	1 -77.57 -62.82 -126.9 -100 -33.33 -8.27 -22.02 -290.7 131.4 64.05 -284.9 -92.96 -162.8 143.9 -138.3 94.86 -106.7 -8.739 -236.13 -278.93 136.04 -258.62 212.7 111.93 76.08 -98.38 315.61 45.25
954	1 16.92 16.79 27.54 60 -64.52 -116.8 -73.8 3.432 -86.76 -42.96 -48.02 -2.994 -10.6 108 -84.08 -59.08 40.44 44.88 190.57 4.45 -289.24 286.71 190.29 -184.08 -79.66 298.44 -212.47 164.6
955	1 -67.04 -55.19 -93.24 -90 -125 -34.05 -9.689 -87.74 -0.9203 64.99 -185.7 -155.7 -158.2 36.86 28.91 168.5 9.21 -184.5 -65.77 242.49 87.22 -163.87 -310.75 -256.67 162.09 -277.89 385.75 -161.09
956	1 -33.83 -28.58 35.04 -110 -214.3 2.137 -60.98 116.1 -190.7 21.05 12.83 6.739 81.38 -76.19 -84.76 78.6 -109.8 -41.48 263.72 153.68 -263.48 -214.81 -83.44 152.22 222.75 352.87 605.95 212.57
957	1 5.013 0.8396 51.66 100 -85.71 -83.69 -73.8 26.04 -42.33 11.2 -8.903 -5.043 -32.38 42.71 64.1 -19.27 117.3 31.43 290.85 205.2 -231.23 -342.93 -332.62 258.89 248.73 -218.26 214.12 -57.02
958	1 -78.95 -64.47 -102.4 -120 -153.8 34.19 -22.51 -54.63 -64.92 101.4 -76.28 -133.1 0.2958 17.37 -150.4 120.3 -54.1 -97.4 257.72 -18.62 -23.62 42.83 273.98 187.52 228.05 113.95 388.35 -132.31
959	1 -14.44 -12.99 -82.83 50 -100 -97.59 -51.94 15.52 -50.22 -27.1 74.33 -52.72 130 106.9 -3.8 -18.65 122.7 -50.25 269.9 -169.8 -142.61 -209.83 99.79 260.78 -20.61 263.42 553.82 -223.3
960	1 33.39 26.31 -7.068 20 -92.59 -12.18 -51.94 47.25 -100.9 9.006 88.52 -66.54 64.62 226.6 -84.99 9.933 86.13 -88.1 -321.87 58.08 -166.9 -301.47 -343.71 103.61 -244.56 -42.47 79.25 103.35
961	1 -46.03 -48.01 119.6 -10 -125 40.8 -42.77 18.44 -29.6 86.43 17.59 -30.84 32.82 -90.1 39.18 92.06 -44.06 -40.78 313.51 -291.57 377.71 -335.38 262.92 235.71 107.1 -298.57 125.04 51.5
962	1 -60.47 -62.93 -67.63 -30 -136.4 39.72 -19.84 -132.5 39.79 100.6 -47.79 -137.9 38.27 -12.74 -48.69 139.6 -68.41 -164.7 -201.12 -148.7 -93.34 -119.15 -43.46 -31.45 -218.34 385.99 -227.36 29.19
963	1 -29.78 -36.05 27.96 -120 -230.8 34.32 -29.01 220.6 -190.9 36.92 62.62 -3.78 109.1 -23.62 -186.2 57.44 -122.7 -52.83 200.5 206.46 -45.57 90.8 -48.9 -86.85 -135.99 251.42 208.61 -109.21
964	1 24.66 18.91 -30.34 70 15.63 -94.92 -34.11 -144.8 83.81 -20.81 -72.52 -10.95 37.24 52.41 -0.6339 22.63 27.04 -2.946 224.29 NA 139.28 87.44 140.46 73.93 155.2 62.45 488.42 -140.92
